company,plant_city,state,region,segment,products,milk_intake_lbs_per_day,finished_output,investment_usd,announced,groundbreaking,startup_date,rampup_to_full,status,jobs,notes,source_url
Great Lakes Cheese,Franklinville,NY,Northeast,Cheese,Natural & processed cheese; shred/slice,"~3,900,000 (est. from 1.42B lbs/yr)",~1.42B lbs milk/yr consumed,"$518M announced (~$621M completed)",2022-04-28,2022,2024-2025 (operational 2025),Ramp through 2025,Operational,~443,"Replaces legacy Cuba NY plant; net incremental ~2M lbs/day. Local '4M gal/day' claim conflicts with annual figure and is likely overstated.",https://esd.ny.gov/esd-media-center/press-releases/governor-hochul-announces-great-lakes-cheese-groundbreaking-518-million-plant-cattaraugus-county
Leprino Foods,Lubbock,TX,Southwest/High Plains,Cheese + Whey,Mozzarella + whey protein/nutrition,"~8,000,000 (~2.9B lbs/yr)",Mozzarella + whey protein,"~$1B (early reports ~$870M)",2022,2022-06-16,Early 2025 (Phase 1); full spring 2025,Ramping through 2025-26,Operational (ramping),600+,First Leprino greenfield in decades; anchors TX High Plains dairy.,https://leprino.com/leprino-foods-announces-lubbock-texas-as-site-for-new-state-of-the-art-dairy-manufacturing-facility/
Hilmar Cheese,Dodge City,KS,Central Plains,Cheese + Whey,American-style 40-lb blocks + whey protein,"~13,000,000 (EST. from ~260 trucks/day)",American cheese + dairy proteins,>$600M,2021-05,2022,2025-03-19 (ribbon cut),Ramping through 2025-26,Operational,~250 direct,"Hilmar's 3rd plant (with Hilmar CA, Dalhart TX). lbs/day is estimated; no official figure. Separately sold Turlock CA powder plant to CDI (2025).",https://www.hilmar.com/hilmar-cheese-company-breaks-ground-on-cheese-and-whey-production-facility-in-dodge-city-kansas/
Southwest Cheese (Glanbia JV),Clovis,NM,Southwest,Cheese + Whey (WPI expansion),Cheddar/American + whey protein isolate,n/a (WPI capacity add),+10M lbs/yr (~4500 MT) WPI,n/a,2025-11 (Capital Markets Day),n/a,2027,n/a,Announced/planned,n/a,Existing plant runs >5.1B lbs milk/yr; this is a WPI capacity addition only.,https://www.foodnavigator.com/Article/2026/01/16/whey-protein-shortage-drives-major-global-investments/
Agropur,Lake Norden,SD,Upper Midwest,Cheese/MPC/Whey,MPC + whey protein modernization,n/a,MPC & whey ingredients,~$60M (part of $130M program),2025-02-11,n/a,n/a,n/a,Announced,n/a,"Value-added modernization, NOT a major milk-intake jump (big 3->9M lbs/day expansion was 2018-19).",https://www.dairyherd.com/news/business/agropur-announces-130-million-investment-south-dakota-and-wisconsin-dairy-plants
Valley Queen Cheese,Milbank,SD,Plains/I-29 Corridor,Cheese + Whey,"Cheese, lactose, WPC, anhydrous milkfat","+3,000,000 (5M -> 8M lbs/day)",Cheese + WPC + AMF,$195M,2022,2022-05-20,Early 2025,Complete early 2025,Operational,n/a,"Largest expansion in 93-yr history. Arla Foods Ingredients microparticulate WPC contract, production winter 2025/26.",https://siouxfalls.business/valley-queen-cheese-announces-largest-expansion-in-its-history/
Bel Brands (Bel Group),Brookings,SD,Plains,Cheese (snack),Mini Babybel,Doubles milk sourcing (modest),"10,000 -> 20,000 tons/yr",$200M,2026,2026-03-11,Production 2028,Equipment 2027; production 2028,Announced/groundbreaking,~150 new,Only US Babybel plant; doubling capacity.,https://www.prnewswire.com/news-releases/bel-invests-200-million-to-double-babybel-production-capacity-in-brookings-south-dakota-302710963.html
Grande Cheese,Chilton,WI,Upper Midwest,Cheese,Premium foodservice mozzarella,n/a,Mozzarella,n/a,n/a,Facility purchased spring 2023,Production trials 2025-26,n/a,Commissioning,n/a,Limited public capacity/investment figures.,https://www.wischeesemakersassn.org/news/wcma-notes-us-cheese-expansions-throttle-up
Idaho Milk Products,Jerome,ID,West,Powder/Whey + Ice cream,Dry powder blending + ice cream,n/a,120M lbs/yr dry powder blending; ice cream lines,$190M,2024-09 (groundbreaking),2024,2026-06-02 (ribbon cut),Complete 2026,Operational,n/a,Supports protein-isolate production; on time and on budget.,https://www.foodengineeringmag.com/articles/103719-idaho-milk-products-opens-190m-ice-cream-and-powder-blending-facility
FrieslandCampina Ingredients (Wisconsin Whey Protein),Wisconsin,WI,Upper Midwest,Whey,Whey protein isolate (WPI),n/a,Ramp to ~22M lbs/yr WPI (~13M new),n/a,n/a,n/a,Early 2026,Ramping,Under construction/ramping,n/a,Recently acquired by FrieslandCampina Ingredients.,https://www.foodnavigator.com/Article/2026/01/16/whey-protein-shortage-drives-major-global-investments/
