analyst_or_source,organization,date,theme,key_claim,key_numbers,source_url
Corey Geiger / Abbi Prins,CoBank (Knowledge Exchange),2025-03-27,Capacity magnitude & milk supply,Over $8B of new dairy processing capacity slated through 2027; 80%+ of US milk goes into manufactured products so components growth is critical,"$8B; >80% of milk to mfg; US milk output fell 2 yrs running (-0.04% 2023, -0.23% 2024)",https://www.cobank.com/knowledge-exchange/dairy/unprecedented-genetic-gains-are-driving-record-milk-components
CoBank (via Capital Press),CoBank,2025-09-08,Heifer/herd constraint,~$10B processing investment 2023-2026 will drive replacement heifer demand; a unique inflection point,"~$10B; heifers -350k (2025), -450k (2026), +285k (2027); inventory at 20-yr low",https://capitalpress.com/2025/09/08/dairy-investment-to-reverse-replacement-heifer-decline-bank-predicts/
Lucas Fuess,RaboResearch (Rabobank),2025-01-31,Capacity & absorption,>$7B planned 2023-2026 mainly cheese; US cheese capacity +~6% in 2025; surplus eventually absorbed by domestic + export but may temporarily oversupply and cut prices,">$7B; cheese capacity +6% (2025)",https://www.rabobank.com/knowledge/q011464729-demand-drives-investment-in-additional-us-cheese-and-whey-production
Mike North,Ever.Ag,2025-2026,Milk supply gap,"'We lack sufficient animals for all plants. Inefficient facilities will close or run below capacity, requiring export growth.' Big cheese wave nearly complete; no meaningful US milk slippage until late Q3-Q4 2026",n/a,https://www.thebullvine.com/news/the-8-billion-infrastructure-trap-why-americas-dairy-boom-could-become-its-biggest-bust/
Nate Donnay,StoneX (Dairy Market Insights),2025-11-25,Oversupply,US milk production expanding 3-4x above long-run trend; market absorbing ~69.5M lb extra cheese/month from new capacity (as of Feb 2026),3-4x trend; ~69.5M lb extra cheese/month,https://www.stonex.com/en/market-intelligence/u-s-dairy-oversupply-collides-with-whey-protein-boom/
Ben Laine,Terrain / Farm Credit,2025-04-01,Anchor projects & balance,"Named 3 anchors: Hilmar Dodge City 8M lb/day, Leprino Lubbock 8M lb/day, Valley Queen +3M lb/day; offset by Leprino Lemoore East (CA) closing early 2026. Markets 'reasonably balanced' early; plants take time to ramp","Hilmar 8M, Leprino 8M, Valley Queen +3M lb/day",https://www.terrainag.com/insights/early-market-impacts-of-new-cheese-plants-arrive/
Peyton Ferrier,USDA (WAOB / Ag Outlook Forum),2026-02-19,Prices & official balance,"Lower 2026 product prices attributed to BOTH more milk AND more processing capacity, particularly cheese; herd expected to contract in 2026 on low prices","2026 milk 234.5B lb (+1.3%); cows 9.568M (+188k YoY); milkfat 4.33% (+2.1%)",https://www.usda.gov/sites/default/files/documents/2026AOF-dairy-outlook.pdf
USDA Ag Outlook Forum,USDA,2026-02-19,Farm & class prices,"All-milk $18.95/cwt (2026F) vs $21.17 (2025); higher whey won't offset lower cheese as capacity puts more product on market",All-milk $18.95; Class III $16.65; Class IV $15.70; Cheddar $1.60/lb; Butter $1.68/lb; Whey $0.69/lb; NDM $1.32/lb (2026F),https://www.usda.gov/sites/default/files/documents/2026AOF-dairy-outlook.pdf
HighGround Dairy,HighGround Dairy,2026-06-24,Cheese vs whey split,"Cheese under pressure from expanded capacity & sluggish foodservice demand; dry whey firm on strong protein demand; Class III supported by whey, Class IV softer",n/a,https://www.highgrounddairy.com/q2-2026-dairy-producer-market-update/
Sarina Sharp,Milk Producers Council,2025,Producer margins,2025 prices ran dangerously close to most producers' break-even amid higher feed costs and lower beef revenues,n/a,https://www.milkproducerscouncil.org/market-news
USDA / AMS (FMMO reform),USDA-AMS,2025-06-01,Make allowances & basis,"New (higher) make allowances effective June 1 2025 mechanically lower classified milk values; warned of increased basis risk for hedgers","Cheese $0.2519, Butter $0.2272, NDM $0.2393, Dry whey $0.2668 per lb",https://www.ams.usda.gov/content/usda-issues-final-rule-amendments-federal-milk-marketing-orders
Trade press (Cheese Reporter/Bullvine),Various,2024-2025,Distressed milk / basis,"Upper Midwest spot loads trading $3 under to $3 over Class; make allowances contributed to oversupply, milk dumping, negative PPDs, depooling, sub-Class III spot milk",Spot milk -$3 to +$3 vs Class,https://www.thebullvine.com/news/the-wall-of-milk-making-sense-of-2025s-global-dairy-crunch/
Vesper (market data),Vesper,2026-04-15,Whey protein shortage,"WPC80 rose from ~$5.80/lb (Oct 2025) to ~$10.50/lb (Q1 2026); WPI ~$12.75; dry whey ~$0.55 (~19x differential). Fractionation capacity maxed; new capacity won't produce until 2027-2028. GLP-1/protein demand driver","WPC80 $10.50; WPI $12.75; dry whey $0.55/lb; GLP-1 users ~11.8% of adults",https://vespertool.com/blog/wpc80-in-2026-why-us-buyers-cant-find-product-at-any-price
American Farm Bureau (via Bullvine),AFB / Bullvine,2026,Regional shift,~$1.6B into new cheese plants in TX/KS/I-29 corridor while WI lost ~76% of dairy farms since mid-2010s; herd growth concentrated near plants,"TX +46k cows, KS +29k, SD +21k, NY +8k",https://www.thebullvine.com/news/18-95-milk-1-6b-in-cheese-plants-why-2026-forces-mid-size-dairies-to-scale-go-premium-or-exit/
Ben Laine,Terrain / Farm Credit,2025-04-01,Regional reallocation,"CO, KS, TX, SD together produced ~5M lb more milk/day (Dec 2024 vs 2023) even as national output fell ~3M lb/day",+5M lb/day Plains vs -3M lb/day national,https://www.terrainag.com/insights/early-market-impacts-of-new-cheese-plants-arrive/
Gregg Doud / Betty Berning (via Bullvine),NMPF / Daily Dairy Report,2025-05-26,Risk window,"12-24 month window of supply surplus before demand absorption; scarce heifers & calf-raising time are long-term barriers to fast milk growth; global dairy demand ~2.3%/yr",12-24 mo surplus window; ~2.3%/yr global demand,https://www.thebullvine.com/news/the-8-billion-infrastructure-trap-why-americas-dairy-boom-could-become-its-biggest-bust/
