# Center-South Brazil sugarcane crush calendar (generic): crushing ~Apr-Nov,
# inter-harvest maintenance ~Jan-Mar. Transition weeks are left out of the windows.
start,end,state,note
2015-01-05,2015-03-20,OFF,inter-harvest (entressafra)
2015-04-15,2015-11-15,ON,crush season (safra)
2016-01-05,2016-03-20,OFF,inter-harvest (entressafra)
2016-04-15,2016-11-15,ON,crush season (safra)
2017-01-05,2017-03-20,OFF,inter-harvest (entressafra)
2017-04-15,2017-11-15,ON,crush season (safra)
2018-01-05,2018-03-20,OFF,inter-harvest (entressafra)
2018-04-15,2018-11-15,ON,crush season (safra)
2019-01-05,2019-03-20,OFF,inter-harvest (entressafra)
2019-04-15,2019-11-15,ON,crush season (safra)
2020-01-05,2020-03-20,OFF,inter-harvest (entressafra)
2020-04-15,2020-11-15,ON,crush season (safra)
2021-01-05,2021-03-20,OFF,inter-harvest (entressafra)
2021-04-15,2021-11-15,ON,crush season (safra)
2022-01-05,2022-03-20,OFF,inter-harvest (entressafra)
2022-04-15,2022-11-15,ON,crush season (safra)
2023-01-05,2023-03-20,OFF,inter-harvest (entressafra)
2023-04-15,2023-11-15,ON,crush season (safra)
2024-01-05,2024-03-20,OFF,inter-harvest (entressafra)
2024-04-15,2024-11-15,ON,crush season (safra)
2025-01-05,2025-03-20,OFF,inter-harvest (entressafra)
2025-04-15,2025-11-15,ON,crush season (safra)
2026-01-05,2026-03-20,OFF,inter-harvest (entressafra)
2026-04-15,2026-08-20,ON,crush season (safra)
